NHS Board / Practice Code,No. of GPs,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Postcode,Telephone Number,List Size
52260,2,Dr Alam's Surgery,"""Mull"", Kinning Park Medical Centre",36 Admiral Street,Glasgow,G41 1HU,0141 429 0943,1763
52293,4,"Drs Treadgold, Duffy & Morley",Pollok Health Centre,21 Cowglen Road,Glasgow,G53 6EQ,0141 531 6860,4818
52330,8,Yellow Practice,Govan Health Centre,5 Drumoyne Road,Glasgow,G51 4BJ,0141 531 8490,4090
52344,6,Crookston Medical Practice,230 Dalmellington Road,Crookston,Glasgow,G53 7FY,0141 883 8887,5305
52359,10,Dr K G Hardie & Partners,Govan Health Centre,5 Drumoyne Road,Glasgow,G51 4BJ,0141 531 8440,8674
52382,2,Pollokshaws Medical Practice,26 Wellgreen,0,Glasgow,G43 1RR,0141 620 4300,3244
52397,5,Wellgreen Medical Practice,Pollokshaws Medical Centre,26 Wellgreen,Glasgow,G43 1RR,0141 620 4310,6224
52400,3,Dr Ghaus Medical Practice,Pollok Health Centre,21 Cowglen Road,Glasgow,G53 6EQ,0141 531 6870,5517
52414,8,"Drs Semple, Finney, Datta & Fisken",Cardonald Medical Centre,1831 Paisley Road West,Glasgow,G52 3SS,0141 826 2548,5248
85032,3,Alcluith Practice,The Health Centre,Station Road,Dumbarton,G82 1PW,01389 811811,2645
85047,4,Drs Mcmaster & Partners,The Health Centre,Station Road,Dumbarton,G82 1PW,01389 811862,5747
85066,8,Levenside Medical Practice,The Health Centre,Station Road,Dumbarton,G82 1PW,01389 811844,6102
85071,2,Dr K N Lynn & Dr J M Mcdevitt,The Health Centre,Station Road,Dumbarton,G82 1PW,01389 811855,3473
85085,2,Dr Neilson & Dr McGonagle,The Health Centre,Station Road,Dumbarton,G82 1PW,01389 811851,2128
85090,4,Dr Stephen H Dunn & Partners,The Health Centre,Station Road,Dumbarton,G82 1PW,01389 811833,4019
85225,7,The Lennox Practice,The Vale Centre for Health & Care,Main Street,ALEXANDRIA,G83 0UA,01389 828616,4840
85230,8,Dr N S D Mackay & Partners,75 Bank Street,Alexandria,0,G83 0NB,01389 752626,8290
85259,3,"Drs Furneaux, Mclachlan & Meikle",The Vale Centre for Health & Care,Main Street,ALEXANDRIA,G83 0UE,01389 828600,3432
85403,10,Oak View Medical Practice,The Vale Centre for Health & Care,Main Street,Alexandria,G83 0UA,01389 752650,9221
86001,3,Gourock Medical Practice,Gourock Health Centre,181 Shore Street,Gourock,PA19 1AQ,01475 502451,7781
86040,4,Dr M Kohlhagen & Partners,The Health Centre,20 Duncan Street,Greenock,PA15 4LY,01475 501338,5981
86054,7,Orangefield Practice,The Health Centre,20 Duncan Street,Greenock,PA15 4LY,01475 501334,7396
86162,2, Dr D A Foster & Dr A E Crawford,The Health Centre,20 Duncan Street,Greenock,PA15 4LY,01475 501246,3201
86177,6,Ardgowan Medical Practice,2 Finnart Street,Greenock,0,PA16 8HW,01475 888155,9087
86181,6,Mount Pleasant Practice,Station View Health Centre,84 Holmscroft Street,Greenock,PA15 4DG,01475 884 300,6737
86196,3,"Drs Simpson, Luty & Ormond",'Dorema',Bridge Of Weir Road,Kilmacolm,PA13 4AP,01505 872155,2999
86209,3,Drs E Manasses & Partners,The New Surgery,The Cargill Centre,"Lochwinnoch Road, Kilmacolm",PA13 4LE,01505 872844,3420
86228,3,"Dr Hogan, Allen & Quinn",The Health Centre,20 Duncan Street,Greenock,PA15 4LY,01475 501337,2884
86271,3,"Drs McCartney, Addiscott & Dunnet",The Health Centre,2 Bay Street,Port Glasgow,PA14 5EW,01475 745321,3544
86285,3,"Drs Macdonald, Mitchell & Rolland",The Health Centre,2 Bay Street,Port Glasgow,PA14 5EW,01475 506038,3685
86317,2,Dr J G Bogan And Dr C MacDonald,The Health Centre,2 Bay Street,Port Glasgow,PA14 5EW,01475 506004,1914
86321,5,"Drs Wilkie, Farrell, Campbell & Pope",The Health Centre,2 Bay Street,Port Glasgow,PA14 5EW,01475 745321,3809
86336,7,"Drs Mutch, Holms, Boyce & Dooley",Medical Centre,4 Dubbs Place,Port Glasgow,PA14 5UD,01475 705604,4675
86341,6,The Roxburgh Practice,Station View Health Centre,84 Holmscroft Street,Greenock,PA15 4DG,01475 558300,5587
86355,6,Regent Medical Practice,The Health Centre,20 Duncan Street,Greenock,PA15 4LY,01475 553560,9465
87019,6,Gleniffer Medical Group,Barrhead Health & Care Centre,213 Main Street,Barrhead,G78 1SW,0,8273
87023,6,Dr  A Capaldi & Partners,The Medical Centre,1 High Street,Neilston,G78 3HJ,0141 880 6505,3522
87108,2,The Oaks Medical Practice,"1st Floor, Barrhead Health & Care Centre",213 Main Street,Barrhead,G78 1SW,0141 800 7085,3561
87112,8,Bishopton Medical Practice,Greenock Road,Bishopton,Renfrewshire,PA7 5AW,01505 863223,7281
87146,8,Dr Smith & Partners,"The Surgery, Kirk Road",Houston,Renfrewshire,PA6 7AR,01505 613240,10295
87165,7,Levern Medical Group,Barrhead Health & Care Centre,213  Main Street,Barrhead,G78 1SW,0141 800 7000,8889
87184,5,"Drs Murray, Macpherson, Hanley, Tobin & O'Connor",Mains Medical Centre,300 Mains Drive,Erskine,PA8 7JQ,0141 812 3230,8659
87235,1,Bridgewater Medical Centre,15 Kilpatrick Drive,Erskine,0,PA8 7AF,0141 812 2022,2174
87240,5,Bargarran Medical Practice,Erskine Clinic,Barrgarran Centre,Erskine,PA8 6BS,0141 314 9313,4344
87292,5,Ludovic Medical Practice,60 Quarry Street,Johnstone,0,PA5 8EY,01505 324348,6762
87305,4,Quarryside Practice,Linden Medical Centre,25 Floors Street,Johnstone,PA5 8PZ,01505 321733,4606
87324,4,Ravenswood Surgery,Thomson Avenue,Johnstone,0,PA5 8SU,01505 331979,6420
87339,3,"Drs Cunning, Howie & Smith",Riverview Med Centre,6/8 George Street,Johnstone,PA5 8SL,01505 320208,5099
87343,4,Dr Cassidy & Partners,Linden Medical Centre,25 Floors Street,Johnstone,PA5 8PZ,01505 320151,3984
87409,5,Dr Richmond & Partners,Linwood Health Centre,5 Bridge Street,Linwood,PA3 3DB,01505 321051,5662
87432,4,Mistylaw Medical Practice,31 Main Street,Lochwinnoch,0,PA12 4AH,01505 842200,4624
87466,6,The Charleston Surgery,5 South Campbell St,Paisley,0,PA2 6LR,0141 889 4373,5893
87471,8,Anchor Mill Medical Practice,4 Saucel Crescent,Paisley,0,PA1 1UB,0141 889 8809,7994
87485,1, Dr A Mahmood,The Tannahill Centre,76 Blackstoun Road,Paisley,PA3 1NT,0141 889 7631,3670
87490,7,King Street Surgery,The Surgery,15 King Street,Paisley,PA1 2PS,0141 889 3144,9382
87502,5,The Consulting Rooms,21 Neilston Rd,Paisley,0,PA2 6LW,0141 889 5277,7155
87517,3,Glenburn Medical Practice,Glenburn Health Centre,Fairway Avenue,Paisley,PA2 8DX,0141 884 7788,3214
87521,3,Drs Crampsey & Galloway,Kelburn Practice,Northcroft Medical Centre,Paisley,PA3 4AD,0141 889 3356,4212
87541,7,The Greenlaw Practice,Northcroft Medical Centre,Paisley,0,PA3 4AD,0141 889 8465,6608
87555,5,The Mirin Practice,The Surgery,3 Glasgow Road,Paisley,PA1 3QS,0141 889 2604,8900
87560,4,The Love Street Medical Centre,40 Love Street,Paisley,0,PA3 2DY,0141 531 3430,5780
87574,3,Drs.Mason And Mcdade,St James Medical Centre,19 St James Street,Paisley,PA3 2HQ,0141 889 5505,3134
87606,6,The Barony Practice,Northcroft Medical Centre,Paisley,0,PA3 4AD,0141 889 3732,6209
87625,7,Abbey Medical Centre,Lonend,Paisley,0,PA1 1SU,0141 889 4088,10604
87697,4,Braehead Medical Practice,Renfrew Health Centre,10 Ferry Road,Renfrew,PA4 8RU,0141 207 7480,6806
87700,6,Clydeview Medical Practice,Renfrew Health Centre,10 Ferry Road,Renfrew,PA4 8RU,0141 207 7730,8189
87714,3,Kingsinch Medical Practice,Renfrew Health Centre,10 Ferry Road,Renfrew,PA4 8RU,0141 207 7700,6524
87729,2,Westfield Medical Practice,Linden Medical Centre,25 Floors Street,Johnstone,PA5 8PZ,01505 337999,4944
HIGHLAND,401, , , , , , , 
55003,3,Thurso & Halkirk Medical Practice,69 Princes Street,Thurso,Caithness,KW14 7DH,01847895986,6212
55037,3,Riverbank Surgery,Janet Street,Thurso,Caithness,KW14 7AR,01847 892009,5514
55041,21,Nairn Healthcare Group,Nairn Town and County Hospital,Cawdor Road,Nairn,IV12 5EE,01667 452096,14740
55075,2,Dunbeath Surgery,Achorn Road,Dunbeath,Caithness,KW6 6EZ,01593 731205,544
55080,2,Canisbay & Castletown Joint Medical Practice,Murrayfield,Castletown,0,KW14 8TY,01847 821205,2907
55094,2,Lybster Medical Centre,Althorpe Street,Lybster,Caithness,KW3 6BQ,01593721216,1216
55131,3,Riverview Medical Practice,Wick Medical Centre,Martha Terrace,Wick,KW1 5EL,01955 602355,7584
55145,1,The Pearson Practice,Wick Medical Centre,Martha Terrace,Wick,KW1 5EL,01955605885,2192
55183,2,Armadale Medical Practice,Armadale,Thurso,Caithness,KW14 7SA,01641541212,829
55201,5,Dornoch Medical Practice,Shore Road,Dornoch,Sutherland,IV25 3LS,01862 810213,2569
55220,2,Golspie Medical Practice,Golspie Health Centre,Fountain Road,Golspie,KW10 6TH,01408633221,2018
55249,2,Lairg Health Centre,Main Street,Lairg,0,IV27 4DD,01549402007,1180
55253,1,Assynt Medical Practice,6 Main Street,Lochinver,Sutherland,IV27 4JZ,01571844226,927
55272,2,Tongue Medical Practice,Tongue Health Centre,St Andrews Glebe,Tongue,IV27 4XB,01847611213,535
55287,4,Helmsdale/Brora Med Practice,Brora Health Centre,Station Square,Brora,KW9 6QJ,01431 821225,2437
55291,4,Creich Surgery,Cherry Grove,Bonar Bridge,0,IV24 3EP,01863 766379,1622
55304,1,"Scourie, Kinlochbervie and Durness Medical Practice",Health Centre,Kinlochbervie,Sutherland,IV27 4RP,01971 521260,904
55338,8,Alness/Invergordon Med Prcte,Robertson Health Centre,Dalmore Road,Alness,IV17 0UN,01349 882229,12955
55342,1,Applecross,By Strathcarron,Ross And Cromarty,0,IV54 8LS,01520744252,240
55357,3,Aultbea/Gairloch Med Practice,Birchburn Surgery,Birchburn,Aultbea,IV22 2HU,01445731221,2195
55361,2,Cromarty Medical Practice,Allan Square,Cromarty,Ross-Shire,IV11 8YF,01381600224,1093
55376,10,Dingwall Medical Group,Dingwall Health Centre,Ferry Road,Dingwall,IV15 9QS,01349 863034,11381
55381,5,Fortrose Medical Practice,Station Road,Fortrose,Ross & Cromarty,IV10 8SY,01381622000,4996
55395,2,Lochcarron Medical Partnership,The Ferguson Medical Centre,Lochcarron,Rosshire,IV54 8YD,01520722215,937
55408,4,Munlochy Medical Practice,The Surgery,Brae Terrace,Munlochy,IV8 8NG,01463811200,2766
55412,5,Strathpeffer Medical Practice,School Road,Strathpeffer,Ross & Cromarty,IV14 9AG,01997421455,3829
55427,3,Tain & District Med Practice,The Health Centre,Craighill Terrace,Tain,IV19 1EU,01862 892203,3040
55431,7,Tain & Fearn Area Med Practice,The Health Centre,Craighill Terrace,Tain,IV19 1EU,01862 892759,5691
55446,2,Torridon Medical Practice,Fassaig,Torridon,Rossshire,IV22 2EZ,01445791223,413
55451,6,Ullapool Health Centre,North Road,Ullapool,0,IV26 2XL,01854612015,2496
55521,2,Carbost Medical Practice,The Surgery,Carbost,Skye And Lochalsh,IV47 8ST,01478640202,636
55535,3,Dunvegan Medical Practice,Dunvegan Health Centre,Dunvegan,Isle Of Skye,IV55 8GU,01470521203,1701
55554,1,Glenelg Health Centre,Allt Ruadh,Glenelg,0,IV40 8JD,01599522272,268
55569,3,Kyle Medical Practice,Lochalsh Healthcare Centre,Station Road,Kyle Of Lochalsh,IV40 8AE,01599 534257,2569
55573,7,Portree Medical Practice,Portree,Isle Of Skye,Skye And Lochalsh,IV51 9BZ,01478 612013,5459
55605,3,Craig Nevis Surgery - Fort William,Craig Nevis Surgery,Fort William Health Centre,Camaghael,PH33 7AQ,01397702947,3566
55610,6,Glen Mor Medical Practice - Fort William,Glen Mor Medical Practice,Fort William Health Centre,Camaghael,PH33 7AQ,01397703773,5516
55624,4,Tweeddale Medical Practice - Fort William,Tweeddale Medical Practice,Fort William Health Centre,Camaghael,PH33 7AQ,01397 703136,5083
55639,2,Kinlochleven Medical Practice,Kearan Road,Kinlochleven,0,PH50 4QU,01855831225,877
55643,2,Lochaline Medical Practice,Morvern Medical Centre,Rowanbank,Lochaline,PA80 5XT,01967421252,316
55662,2,Acharacle Medical Practice,The Pines Medical Centre,Acharacle,Argyll,PH36 4JU,01967 431231,1264
55677,3,Small Isles Medical Practice - Isle of Eigg,Small Isles Medical Practice,Grianan,Isle Of Eigg,PH42 4RL,01687482427,171
55696,5,The Aird Medical Practice - Beauly,The Aird Medical Practice,Ferry Road,Beauly,IV4 7EA,01463 782214,3015
55709,6,Croyard Road - Beauly,The Surgery,Croyard Road,Beauly,IV4 7DT,01463 782794,5697
55728,4,Drumnadrochit Health Centre,Lewiston,Drumnadrochit,Inverness,IV63 6UL,01456450577,2402
55732,2,Cill Chuimein Medical Centre - Fort Augustus,Cill Chuimein Medical Centre,Fort Augustus,Inverness,PH32 4BH,01320 366216,1415
55747,7,Loch Ness East And Strathnairn - Foyers,Loch Ness East And Strathnairn,The Medical Centre,Foyers,IV2 6YB,01456486224,962
55751,6,Culloden Surgery,Keppoch Road,Culloden,Inverness,IV2 7LL,01463 793400,5791
55766,8,Culloden Medical Practice,Keppoch Road,Culloden,Inverness,IV2 7LL,01463 793777,6435
55817,10,Kingsmills Medical Practice,18 Southside Road,Inverness,0,IV2 3BG,01463 235245,10151
55836,7,Fairfield Medical Practice,22a Abban Street,Inverness,0,IV3 8HH,01463 713939,6337
55841,10,Riverside Medical Practice,Riverside Medical Centre,"Ballifeary Lane, Ness Walk",Inverness,IV3 5PW,01463 715999,10015
55860,2,Kinmylies Medical Practice,Assynt Road,Inverness,0,IV3 8PB,01463 239865,3109
55874,6,43 Southside Road,Inverness,0,0,IV2 4XA,01463 710222,4944
55889,4,Burnfield Medical Practice,Harris Road,Inverness,0,IV2 3PF,01463 220077,5515
55893,6,Crown Medical Practice,12 Crown Avenue,Inverness,0,IV2 3NF,0844 576 9977,6948
55911,8,Aviemore Medical Practice,Aviemore Health Centre,Aviemore,Badenoch And Strathspey,PH22 1SY,01479 810258,5150
55925,11,Grantown On Spey Health Centre,Castle Road East,Grantown On Spey,0,PH26 3HR,01479872484,5244
55930,5,Kingussie Medical Practice,Old Distillery Surgery,Ardvonie Park,Kingussie,PH21 1ET,01540 661 233,2948
55944,1,Gergask Surgery,Laggan,By Newtonmore,0,PH20 1AH,01528 544225,450
56006,12,Cairn Medical Practice,15 Culduthel Road,Inverness,0,IV2 4AG,01463 712233,9547
56011,1,Dunedin Medical Practice,Temple Crescent,Inverness,0,IV2 4TP,01463 712157,2481
56025,4,Ballachulish Medical Practice,East Laroch,Ballachulish,Argyll,PH49 4JB,01855 811226,1559
56030,2,Mallaig And Arisaig Medical Practice,Mallaig Health Centre,Victoria Road,Mallaig,PH41 4RN,01687 462202,1800
56523,5,SOUTH SKYE MEDICAL PRACTICES,BROADFORD HEALTH CENTRE,"HIGH ROAD, BROADFORD",ISLE OF SKYE,IV49 9AA,01471 822460,2673
84006,1,Dr Stuart Cairns & Partner,Port Appin Surgery,Port Appin,Argyll,PA38 4DE,01631 730271,817
84030,8,Campbeltown Medical Practice,The Health Centre,Stewart Road,Campbeltown,PA28 6AT,01586 552105,6314
84063,1,Dr Malcolm R Elder,The Carradale Surgery,Carradale,Argyll,PA28 6QG,01583 431376,585
84097,1,Dr C O'Neill,Coll Medical Practice,Arinagour,Isle of Coll,PA78 6SY,01879 230326,200
84129,3,Colonsay Surgery,Scalasaig,Isle of Colonsay,0,PA61 7YW,01951 200328,125
84191,5,Taynuilt Medical Practice,The Surgery,Connel,Argyll,PA37 1PH,01631 710229,5136
84237,3,"Drs Hall, Brennan & McLaughlin",246 Argyll Street,Dunoon,0,PA23 7HW,01369 703252,3894
84241,3,Church Street Surgery,30 Church Street,Dunoon,0,PA23 8BG,01369 703482,4211
84256,2,Dr Taylor-Kavanagh & Partner,246 Argyll St,Dunoon,0,PA23 7HW,01369 703279,3005
84275,2,Easdale Medical Practice,The Surgery,Clachan Seil,Isle of Seil,PA34 4TL,01852 300223,1020
84307,7,The Furnace/Inveraray Surgery,Furnace,0,Argyll,PA32 8XN,01499 500207,1165
84331,1,Bowmore Medical Practice,Islay Hospital,Gortonvogie Road,"Bowmore, Isle of Islay",PA43 7JD,01496 301039,1235
84345,3,Port Ellen Practice,"The Surgery, Geirhilda",Back Road,"Port Ellen, Isle of Islay",PA42 7DR,01496 302103,1220
84350,4,Port Charlotte,Isle of Islay,0,0,PA48 7UD,01496 850210,833
84383,2,Jura Medical Practice,Glencairn Surgery,Craighouse,Isle of Jura,PA60 7XG,01496 820218,215
84415,9,Lochgilphead Medical Centre,Mid Argyll Community Hosp & Integrated Care Ctre,Blarbuie Road,Lochgilphead,PA31 8JZ,01546 462002,6630
84449,3,Dr P M R Von Kaehne,The Lochgoilhead Medical Centre,Lochgoilhead,0,PA24 8AA,01301 703258,482
84504,1,Dr Frank Teunisse,Salen Surgery,"Pier Road, Salen",Isle of Mull,PA72 6JL,01680 300327,950
84519,3,The Surgery,Rockfield Road,Tobermory,Isle of Mull,PA75 6PN,01688 302013,1571
84523,1,The Surgery,Bunessan,Isle of Mull,0,PA67 6DG,01681 700261,670
84581,13,Lorn Medical Centre,Soroba Road,Oban,0,PA34 4HE,01631 563175,11084
84646,5,The Bute Practice,The Health Centre,High Street,Rothesay,PA20 9JL,01700 502290,6330
84684,1,Dr Robert S B Coull,Strachur Medical Practice,Dalnacraig,"Strachur, Cairndow",PA27 8BX,01369 860224,866
84716,2,Drs Cameron and Tittmar,Riverbank Surgery,Kilmun,Argyll,PA23 8SE,01369 840279,1552
84740,2,Tarbert Medical Practice,Campbeltown Road,Tarbert,Argyll,PA29 6TY,01880 820219,1640
84773,2,Dr A MacGregor & Dr N Hallum,Kyles Medical Centre,Tighnabruaich,Argyll,PA21 2BE,01700 811207,1015
84805,3,Tiree Medical Practice,Baugh Surgery,Isle of Tiree,0,PA77 6UN,01879 220323,709
84810,1,Kintyre Medical Group,Muasdale Surgery,Muasdale,"Tarbert, Argyll",PA29 6XD,01583 421206,1117
85009,3,Dr David F Troup & Dr Chiara E Berardelli,Arrochar Surgery,Kirkfield Place,Arrochar,G83 7AE,08444 772520,1087
85117,1,Dr J D McKelvie & Partner,Garelochhead Medical Centre,McAulay Place,"Feorlin Way, Garelochhead",G84 0SL,01436 810370,2020
85141,7,Millig Practice,The Medical Centre,12 East King Street,Helensburgh,G84 7QL,01436 673366,10080
85155,8,Dr McLachlan & Partners,The Medical Centre,12 East King Street,Helensburgh,G84 7QL,01436 672277,8257
85193,2,Drs Doyle & Falconer,Kilcreggan Health Centre,Kilcreggan,Argyll,G84 0JL,01436 842156,2297
LANARKSHIRE,455, , , , , , , 
60054,11,Jamieson Medical Practice,2 Cliffvale Road,CHRYSTON,0,G69 9DW,0141 779 2228,13323
60069,2,Moodiesburn Medical Centre,69 Glenmanor Avenue,MOODIESBURN,0,G69 0LB,01236 872276,1610
60073,1,Nalagatla Medical Practice,146 Cumbernauld Road,STEPPS,0,G33 6HA,0141 779 2330,3616
60088,2,Stepps Surgery,131 Cumbernauld Road,STEPPS,0,G33 6EY,0141 779 4445,2535
60092,7,The Stonelaw Practice,Rutherglen Health Centre,130 Stonelaw Road,RUTHERGLEN,G73 2PQ,0141 531 6030,11275
60105,4,Wardlaw Medical Practice,Rutherglen Primary Care Centre,130 Stonelaw Road,RUTHERGLEN,G73 2PQ,0141 531 6020,5706
60110,3,Drs Tierney & Canning,Rutherglen Primary Care Centre,"130 Stonelaw Road, Rutherglen",Glasgow,G73 2PQ,0141 613 4757,4990
60124,1,Dr C M McCann,Ardoch Medical Centre,6 Ardoch Grove,CAMBUSLANG,G72 8HA,0141 641 3827,1346
60139,3,Overtoun Medical Practice,Rutherglen Health Centre,130 Stonelaw Road,RUTHERGLEN,G73 2PQ,0141 531 6025,4812
60143,9,North Avenue Surgery,18 North Avenue,CAMBUSLANG,0,G72 8AT,0141 641 3037,12143
60158,1,Dr R Afuakwah,81 Mill Street,RUTHERGLEN,0,G73 2LD,0141 647 6294,1537
60162,1,Dr Oliver Frenschock,27 Main Street,CAMBUSLANG,0,G72 7EX,0141 584 2500,1736
60177,5,The Craigallian Avenue Practice,11 Craigallian Avenue,CAMBUSLANG,0,G72 8RW,0141 641 3129,7221
60181,2,Dr Douglas J Bruce & Dr Stephen J Friel,Rutherglen Health Centre,130 Stonelaw Road,RUTHERGLEN,G73 2PQ,0141 531 4128,3955
60196,1,The Campbell Practice,Rutherglen Health Centre,"130 Stonelaw Road, Rutherglen",GLASGOW,G73 2PQ,0141 531 4144,2078
60209,2,Ardoch Medical Practice,Ardoch Medical Centre,Cambuslang,GLASGOW,G72 8HA,0141 641 1255,3239
60213,4,The Well Medical Practice,Motherwell Health Centre,138-144 Windmillhill Street,MOTHERWELL,ML1 1TA,01698 265193,7390
61038,1,Clarkston Medical Centre,114 Forrest Street,Airdrie,Lanarkshire,ML6 7AG,01236 747611,1127
61061,5,Adam Avenue Practice,Dr R Clements & Partners,Airdrie Community Health Centre,"88 Graham Street, Airdrie",ML6 6DB,01236 763581,8517
61131,4,Tinto Medical Practice,Airdrie Community Health Centre,88 Graham Street,Airdrie,ML6 6DB,01236 748488,4205
61151,1,Bankhouse Medical Practice,Airdrie Community Health Centre,88 Graham Street,"Airdrie, Lanarkshire",ML6 6DB,01236 766983,3993
61170,1,Dr D Walker,Airdrie Community Health Centre,88 Graham Street,Airdrie,ML6 6DB,01236 766446,1820
61216,1,Centenary Surgery,9 Centenary Gardens,Coatbridge,0,ML5 4BY,01236 423355,2005
61240,3,"Drs Fife, Docherty & Mccrum",Coatbridge Health Centre,1 Centre Park Court,Coatbridge,ML5 3AP,01236 433300,6697
61288,1,Blairgrove Surgery,Coatbridge Health Centre,1 Centre Park Court,Coatbridge,ML5 3AP,01236 421434,2353
61305,4,Dr PN Nahar & Partners,Kildrum Health Centre,Afton Road,Cumbernauld,G67 2EU,01236 721354,5713
61324,3,Dr U Handa & Partners,Condorrat Health Centre,"16 Airdrie Road, Condorrat",Cumbernauld,G67 4DN,01236 733221,5072
61339,7,Caledonia Medical Practice,North Carbrain Road,Town Centre,Cumbernauld,G67 1BJ,01236 731738,10147
61343,8,Dr Carroll & Partners,Central Health Centre,"North Carbrain Road, Town Centre",Cumbernauld,G67 1BJ,01236 737214,12449
61358,8,Kenilworth Medical Centre,Kenilworth Court,Greenfaulds,Cumbernauld,G67 1BP,01236 727816,12873
61377,3,Dr JS Twaddle & Partners,Abronhill Health Centre,"Pine Road, Abronhill",Cumbernauld,G67 3BE,01236 723223,4602
61381,1,Dr DJ Clifford,Abronhill Health Centre,"Pine Road, Abronhill",Cumbernauld,G67 3BE,01236 727654,2917
61409,2,Dr SS Bawa,8 Centre Street,Glenboig,Lanarkshire,ML5 2RY,01236 872617,1418
61447,9,Waverley Medical Practice,Coatbridge Health Centre,1 Centre Park Court,Coatbridge,ML5 3AP,01236 422311,18594
61451,4,Coatbank Medical Practice,Coatbridge Health Centre,1 Centre Park Court,Coatbridge,ML5 3AP,01236 422950,8667
61466,4,Atrium Medical Practice,Buchanan Centre,126-130 Main Street,Coatbridge,ML5 3BJ,01236 421211,6804
61485,2,Church  Street  Practice,Buchanan Centre,126-130 Main Street,Coatbridge,ML5 3BJ,01236 422678,6418
61502,9,Kilsyth Medical Partnership,Kilsyth Community Health Centre,Airdrie Road,Kilsyth,G65 9JE,01236 801677,14150
61625,8,WELLWYND PRACTICE,AIRDRIE COMMUNITY HEALTH CENTRE,88 GRAHAM STREET,AIRDRIE,ML6 6DB,01236 769333,21550
61630,2,Thistle Medical Practice,Airdrie Community Health Centre,88 Graham Street,Airdrie,ML6 6DB,01236 748900,5879
61644,5,Strathcalder Practice,Alison Lea Medical Centre,Calderwood,EAST KILBRIDE,G74 3HW,01355 227220,8520
62011,5,Mossend Surgery,494 Main Street,Bellshill,Lanarkshire,ML4 1DQ,01698 748421,6326
62031,6,Bruce Medical Centre,2 Pollock Street,Mossend,Bellshill,ML4 1QD,01698 747666,9402
62045,1,Dr CM Mckibbin,Fullwood Clinic,120 Stevenson  Street,New Stevenson,ML1 4LT,01698 834488,2354
62050,5,John Street Surgery,C/O Bellshill Community Health Clinic,Greenmoss Place,Bellshill,ML4 1PS,01698 747195,7811
62115,1,Newarthill Medical Practice,15 Carfin Road,Newarthill,Lanarkshire,ML1 4DY,01698 732501,2836
62120,2,Drs Rao/Raman,43/45 Main Street,Holytown,Lanarkshire,ML1 4TH,01698 732463,2955
62219,4,High Mill Medical Practice,Carluke Community Health Centre,40 Chapel Street,Carluke,ML8 4BA,01555 771012,5710
62223,6,St Luke's Medical Practice,Carluke Community Health Centre,40 Chapel Street,Carluke,ML8 4BA,01555 752150,10662
62238,10,The Lanark Doctors,Woodstock Medical Centre,Woodstock Road,Lanark,ML11 7DH,01555 665522,12849
62312,6,Biggar Health Centre,South Croft Road,Biggar,Lanarkshire,ML12 6BE,01899 220383,7147
62346,2,Kingshill Medical Practice,40 Manse Road,Forth,Lanarkshire,ML11 8AJ,01555 811200,3001
62510,8,Douglasdale Medical Practice,69 Ayr Road,Douglas,Lanarkshire,ML11 0PX,01555 851226,5320
62596,4,Dr GD Brough & Partners,30 Lauchope Street,Chapelhall,Airdrie,ML6 8SR,01236 762144,7357
62609,7,Orchard Medical Centre,41 Ladywell Road,Motherwell,Lanarkshire,ML1 3JX,01698 242700,12666
62628,1,Blackwood Medical Practice,125 Carlisle Road,Blackwood,Lanarkshire,ML11 9SB,01555 893961,3684
62632,5,Glebe Medical Centre,Abbeygreen,Lesmahagow,0,ML11 0DB,01555 892328,6553
62666,3,Dr KEH Mckay & Partners,Houldsworth Centre,Kenilworth Avenue,Wishaw,ML2 7LP,01698 361716,3655
62671,9,Dr Clark & Partners,Houldsworth Centre,Kenilworth Avenue,Wishaw,ML2 7LP,01698 372201,8982
62685,2,Dr Tilley & Partners,Motherwell Health Centre,138/144 Windmillhill Street,Motherwell,ML1 1TB,01698 266688,3562
62690,3,Dr L Bell & Partners,Motherwell Health Centre,138/144 Windmillhill Street,Motherwell,ML1 1TB,01698 266525,2076
62702,2,Drs Keenan & Fisher,Motherwell Health Centre,138/144 Windmillhill Street,Motherwell,ML1 1TB,01698 264164,3356
62717,6,Dr A Porte & Partners,Glencairn Medical Practice,"Modyrvale Medical Centre, Toll Street",Motherwell,ML1 2PJ,01698 265566,9338
62736,3,Dr Blake & Partners,Motherwell Health Centre,138-144 Windmillhill Street,Motherwell,ML1 1TB,01698 263288,4527
62806,3,Dr NPM Dear & Partners,Newmains Health Centre,17 Manse Road,Newmains,ML2 9AX,01698 384482,3907
62811,2,Dr AAW Majumdar & Partners,Newmains Health Centre,17 Manse Road,Newmains,ML2 9AX,01698 381074,2083
62830,3,Manse Road Medical Centre,18 Manse Road,Newmains,0,ML2 9AX,01698 383296,2782
62844,1,Forestbank Medical Partnership,Harthill Health Centre,24/26 Victoria Street,Harthill,ML7 5QE,01501 751795,3650
62897,1,Dr George Practice,Shotts Health Centre,36 Station Road,Shotts,ML7 4DS,01501 821544,2301
62914,3,Dr CM Maule & Partners,Houldsworth Centre,Kenilworth Avenue,Wishaw,ML2 7LP,01698 357766,4417
62933,9,Logan Practice,Houldsworth Centre,Kenilworth Avenue,Wishaw,ML2 7LP,01698 373341,10131
